YearMonth,Rain_mm,Rain_mm_1yr
2014-04-01,7.294689413,17.416675966833335
2014-05-01,7.963496126,16.513998878333336
2014-06-01,1.043737538,15.467805297500002
2014-07-01,3.716488356,12.623016415833336
2014-08-01,0,11.5926490325
2014-09-01,1.931174489,9.703249102500001
2014-10-01,19.80529606,9.437151017833335
2014-11-01,6.837169168,9.255608030916669
2014-12-01,18.39331116,9.320759125166669
2015-01-01,13.65977175,9.084552827666668
2015-02-01,15.27581369,9.890219983500002
2015-03-01,20.51804148,9.889442890166668
2015-04-01,4.101512397,11.396703206833335
2015-05-01,5.784980283,13.396562880333335
2015-06-01,1.825550669,12.144746499583334
2015-07-01,0.882012786,11.006432187083336
2015-08-01,9.66800587,10.71887882291667
2015-09-01,1.921849369,10.169708006250001
2015-10-01,37.89241986,10.635462033000001
2015-11-01,30.83548525,11.174653175250002
2015-12-01,3.371514591,11.153170688250002
2016-01-01,0,11.510805079500003
2016-02-01,11.82517332,11.542449587833334
2016-03-01,13.92799168,13.356827764583336
2016-04-01,9.690560718,10.60486543291667
2016-05-01,12.25527399,8.544469831083335
2016-06-01,1.567760825,13.92107761266667
2016-07-01,5.173625481,14.397853738833335
2016-08-01,10.04773997,15.41996200466667
2016-09-01,23.69438749,15.233696771333335
2016-10-01,4.86887188,16.506671204000003
2016-11-01,6.110738028,16.744278029000004
2016-12-01,67.89080797,16.86795586666667
2017-01-01,5.721313514,16.8119882945
2017-02-01,24.09047251,16.2095364235
2017-03-01,11.69280888,14.484279919916668
2017-04-01,24.96625391,15.855783953250002
2017-05-01,15.10655589,17.042113449250003
2017-06-01,3.051894877,14.895050487583335
2017-07-01,4.502014615,14.692848732583336
2017-08-01,2.818317518,17.033941975083334
2017-09-01,2.991309447,16.48093814341667
2017-10-01,21.32692028,16.70345687091667
2017-11-01,20.34669198,15.65702119391667
2017-12-01,42.12605243,15.625646163333336
2018-01-01,3.294892454,15.555917699333335
2018-02-01,52.18359142,16.343550014500003
2018-03-01,5.0567629,18.815361998916668
2018-04-01,27.63647864,19.30778984891667
2018-05-01,2.549327766,18.82885990641667
2018-06-01,2.67539451,19.306345430583338
2018-07-01,3.665273047,21.834532302750002
2018-08-01,12.2699053,26.31763004275
2018-09-01,32.65305326,26.29414807116667
2018-10-01,27.23605448,24.716050624333334
2018-11-01,14.59953267,25.004563625333336
2018-12-01,47.85587872,25.128307276750004
2019-01-01,33.63313492,25.12953859691667
2019-02-01,105.9807643,24.44694843041667
2019-03-01,4.774979241,22.04479776033334
2019-04-01,8.699309278,19.869278599583335
2019-05-01,6.011483778,19.750922651250004
2019-06-01,4.160318327,19.758872073750002
2019-07-01,3.680048889,28.635777497083335
2019-08-01,4.078823302,23.63701380541667
2019-09-01,3.827245219,25.42124886866667
2019-10-01,1.129824551,25.449568928833333
2019-11-01,13.17926129,25.73147028066667
2019-12-01,47.95127179,25.694805420083338
2020-01-01,140.156,26.225943012666672
2020-02-01,45.9956,26.142633570833336
2020-03-01,26.1858,26.175788969250004
2020-04-01,9.03915,26.527412756666667
2020-05-01,9.3943,30.653949315833334
2020-06-01,3.72034,27.763335
2020-07-01,10.0537,23.71871833333334
